,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,PERIOD,EPOCH,AGE / STAGE,Age (Ma),87Sr/86Sr mean,87Sr/8Sr min,87sr/86Sr max,Half-width interval,rate of change,extrapolated
,,Neogene,Pliocene,Piacenzian,3.30,0.709055,0.709051,0.709058,3,10,
,,Neogene,Pliocene,Piacenzian,3.35,0.709054,0.709051,0.709058,3,9,
,,Neogene,Pliocene,Piacenzian,3.40,0.709054,0.709051,0.709057,3,9,
,,Neogene,Pliocene,Piacenzian,3.45,0.709053,0.709050,0.709057,3,9,
,,Neogene,Pliocene,Piacenzian,3.50,0.709053,0.709050,0.709056,3,8,
,,Neogene,Pliocene,Piacenzian,3.55,0.709052,0.709049,0.709056,3,8,
,,Neogene,Pliocene,Piacenzian,3.60,0.709052,0.709048,0.709055,3,8,
,,Neogene,Pliocene,Zanclean,3.65,0.709052,0.709048,0.709055,3,7,
,,Neogene,Pliocene,Zanclean,3.70,0.709051,0.709047,0.709055,4,7,
,,Neogene,Pliocene,Zanclean,3.75,0.709051,0.709047,0.709055,4,7,
,,Neogene,Pliocene,Zanclean,3.80,0.709051,0.709046,0.709055,4,7,
,,Neogene,Pliocene,Zanclean,3.85,0.709050,0.709046,0.709054,4,7,
,,Neogene,Pliocene,Zanclean,3.90,0.709050,0.709045,0.709054,4,7,
,,Neogene,Pliocene,Zanclean,3.95,0.709050,0.709045,0.709054,4,7,
,,Neogene,Pliocene,Zanclean,4.00,0.709049,0.709045,0.709054,5,7,
,,Neogene,Pliocene,Zanclean,4.05,0.709049,0.709044,0.709054,5,7,
,,Neogene,Pliocene,Zanclean,4.10,0.709049,0.709044,0.709053,5,7,
,,Neogene,Pliocene,Zanclean,4.15,0.709048,0.709043,0.709053,5,8,
,,Neogene,Pliocene,Zanclean,4.20,0.709048,0.709043,0.709053,5,8,
,,Neogene,Pliocene,Zanclean,4.25,0.709048,0.709043,0.709053,5,8,
,,Neogene,Pliocene,Zanclean,4.30,0.709047,0.709043,0.709052,5,9,
,,Neogene,Pliocene,Zanclean,4.35,0.709047,0.709042,0.709051,5,9,
,,Neogene,Pliocene,Zanclean,4.40,0.709046,0.709042,0.709051,4,10,
,,Neogene,Pliocene,Zanclean,4.45,0.709046,0.709042,0.709049,4,10,
,,Neogene,Pliocene,Zanclean,4.50,0.709045,0.709041,0.709048,3,11,
,,Neogene,Pliocene,Zanclean,4.55,0.709045,0.709041,0.709048,3,12,
,,Neogene,Pliocene,Zanclean,4.60,0.709044,0.709040,0.709048,4,13,
,,Neogene,Pliocene,Zanclean,4.65,0.709043,0.709039,0.709047,4,14,
,,Neogene,Pliocene,Zanclean,4.70,0.709043,0.709038,0.709046,4,15,
,,Neogene,Pliocene,Zanclean,4.75,0.709042,0.709037,0.709046,5,17,
,,Neogene,Pliocene,Zanclean,4.80,0.709041,0.709035,0.709046,5,18,
,,Neogene,Pliocene,Zanclean,4.85,0.709040,0.709034,0.709046,6,19,
,,Neogene,Pliocene,Zanclean,4.90,0.709039,0.709033,0.709045,6,21,
,,Neogene,Pliocene,Zanclean,4.95,0.709038,0.709032,0.709045,6,22,
,,Neogene,Pliocene,Zanclean,5.00,0.709036,0.709030,0.709044,7,23,
,,Neogene,Pliocene,Zanclean,5.05,0.709035,0.709027,0.709044,8,25,
,,Neogene,Pliocene,Zanclean,5.10,0.709034,0.709025,0.709044,10,27,
,,Neogene,Pliocene,Zanclean,5.15,0.709033,0.709022,0.709043,10,29,
,,Neogene,Pliocene,Zanclean,5.20,0.709031,0.709020,0.709043,11,32,
,,Neogene,Pliocene,Zanclean,5.25,0.709030,0.709018,0.709041,12,34,
,,Neogene,Pliocene,Zanclean,5.30,0.709028,0.709016,0.709040,12,37,
,,Neogene,Miocene ,Messinian,5.35,0.709026,0.709015,0.709036,11,41,
,,Neogene,Miocene ,Messinian,5.40,0.709023,0.709014,0.709033,9,44,
,,Neogene,Miocene ,Messinian,5.45,0.709021,0.709012,0.709030,9,48,
,,Neogene,Miocene ,Messinian,5.50,0.709018,0.709011,0.709026,8,51,
,,Neogene,Miocene ,Messinian,5.55,0.709016,0.709007,0.709024,9,54,
,,Neogene,Miocene ,Messinian,5.60,0.709013,0.709003,0.709022,9,57,
,,Neogene,Miocene ,Messinian,5.65,0.709010,0.708999,0.709020,11,60,
,,Neogene,Miocene ,Messinian,5.70,0.709007,0.708994,0.709019,12,62,
,,Neogene,Miocene ,Messinian,5.75,0.709003,0.708990,0.709017,13,64,
,,Neogene,Miocene ,Messinian,5.80,0.709000,0.708986,0.709014,14,65,
